HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Common name	Female maturity (days)	Male maturity (days)	Gestation/Incubation (days)	Weaning (days)	Litter/Clutch size	Litters/Clutches per year	Inter-litter/Interbirth interval	Birth weight (g)	Weaning weight (g)	Adult weight (g)	Growth rate (1/days)	Maximum longevity (yrs)	Source	Specimen origin	Sample size	Data quality	IMR (per yr)	MRDT (yrs)	Metabolic rate (W)	Body mass (g)	Temperature (K)	References	scientific_name	ncbi_id
3	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	pulicaria	Daphnia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.19		unknown	medium	acceptable	NA	NA	NA	NA	NA	1294,1295,1296	Daphnia pulicaria	35523
5	Animalia	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	melanogaster	Fruit fly	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3		captivity	large	acceptable	0.05	0.04	NA	NA	NA	2,20,32,47,53,68,69,240,241,242,243,274,602,981,1150	Drosophila melanogaster	7227
6	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	mellifera	Honey bee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	812	unknown	medium	acceptable	NA	NA	NA	NA	NA	63,407,408,741,805,806,808,812,815,828,830,831,847,848,902,908,1143,1166	Apis mellifera	7460
8	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Cardiocondyla	obscurior	Cardiocondyla obscurior	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	1293	captivity	medium	acceptable	NA	NA	NA	NA	NA	1293	Cardiocondyla obscurior	286306
9	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Lasius	niger	Black garden ant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	411	unknown	medium	acceptable	NA	NA	NA	NA	NA	411,813,814	Lasius niger	67767
10	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Pheidole	dentata	Pheidole dentata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4	1156	captivity	medium	questionable	NA	NA	NA	NA	NA	1156	Pheidole dentata	458923
11	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Bicyclus	anynana	Squinting bush brown	15	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	811	wild	medium	acceptable	NA	NA	NA	NA	NA	418,809,811	Bicyclus anynana	110368
12	Animalia	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	americanus	American lobster	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	2	wild	medium	acceptable	NA	NA	NA	NA	NA	2,13,594	Homarus americanus	6706
15	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	bombina	Firebelly toad	1095	1095	NA	NA	190	NA	NA	NA	NA	NA	NA	20	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485,525,749	Bombina bombina	8345
16	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	orientalis	Oriental firebelly toad	NA	NA	NA	NA	148	NA	NA	NA	NA	NA	NA	15.8	451	captivity	large	acceptable	NA	NA	NA	NA	NA	451,525,749	Bombina orientalis	8346
17	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	variegata	Yellow-bellied toad	NA	NA	NA	NA	73	NA	NA	NA	NA	NA	NA	29		captivity	medium	acceptable	NA	NA	NA	NA	NA	24,525,749	Bombina variegata	8348
18	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	americanus	American toad	910	910	8	NA	6000	NA	365	NA	NA	21.7667	NA	36	525	captivity	medium	acceptable	NA	NA	0.00829	21.6	288	37,268,426,525,749	Anaxyrus americanus	8389
19	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	boreas	Western toad	1095	1095	6	NA	5200	NA	NA	NA	NA	NA	NA	11.5	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	437,451,526,749	Anaxyrus boreas	30325
20	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	canorus	Yosemite toad	1825	1460	11	NA	1750	NA	NA	NA	NA	NA	NA	15	503	wild	medium	acceptable	NA	NA	NA	NA	NA	503,526,749	Anaxyrus canorus	30327
21	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	cognatus	Great plains toad	730	730	4	NA	11074	NA	NA	NA	NA	NA	NA	10.7	485	captivity	small	questionable	NA	NA	NA	NA	NA	485,526,749	Anaxyrus cognatus	30328
22	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	debilis	Green toad	NA	NA	NA	NA	1300	NA	NA	NA	NA	NA	NA	12.4	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451,749	Anaxyrus debilis	30329
23	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	hemiophrys	Canadian toad	730	730	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.3	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451,528	Anaxyrus hemiophrys	302540
24	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	punctatus	Red-spotted toad	730	730	NA	NA	1500	NA	NA	NA	NA	NA	NA	11.3	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485,749	Anaxyrus punctatus	47553
25	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	retiformis	Sonoran green toad	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	15.3	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451,749	Anaxyrus retiformis	47555
26	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	terrestris	Southern toad	NA	NA	3	NA	3250	NA	NA	NA	NA	19.267	NA	10	451	captivity	medium	acceptable	NA	NA	0.00698	19.2	288	37,451,749	Anaxyrus terrestris	47559
27	Animalia	Chordata	Amphibia	Anura	Bufonidae	Atelopus	varius	Veragoa stubfoot toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	451	captivity	large	acceptable	NA	NA	NA	NA	NA	451	Atelopus varius	47580
28	Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufo	bufo	Common European toad	1460	1460	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451,525,526,1134	Bufo bufo	8384
29	Animalia	Chordata	Amphibia	Anura	Bufonidae	Incilius	alvarius	Colorado river toad	NA	1095	NA	NA	7750	NA	NA	NA	NA	NA	NA	15.4	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485,749	Incilius alvarius	30324
30	Animalia	Chordata	Amphibia	Anura	Bufonidae	Nectophrynoides	asperginis	Kihansi spray toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	990	captivity	medium	questionable	NA	NA	NA	NA	NA	990	Nectophrynoides asperginis	1444976
31	Animalia	Chordata	Amphibia	Anura	Bufonidae	Peltophryne	lemur	Ridge-headed toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.7	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Peltophryne lemur	47586
32	Animalia	Chordata	Amphibia	Anura	Bufonidae	Peltophryne	peltocephala	Cuban toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Peltophryne peltocephala	651678
33	Animalia	Chordata	Amphibia	Anura	Bufonidae	Pseudepidalea	viridis	European green toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.9	451	captivity	large	acceptable	NA	NA	NA	NA	NA	451	Pseudepidalea viridis	NA
34	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhaebo	blombergi	Colombian giant toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.7	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA	451	Rhaebo blombergi	NA
35	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhinella	arenarum	Argentine toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		unknown	small	low	NA	NA	NA	NA	NA	451,525	Rhinella arenarum	38577
36	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhinella	marina	Cane toad	365	365	2	NA	10000	NA	NA	NA	NA	106.25	NA	24.8	485	captivity	large	acceptable	NA	NA	0.0303	105	293	37,296,485,749	Rhinella marina	8386
37	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhinella	schneideri	Eurura toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.1	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Rhinella schneideri	346460
38	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	aurita	Common horned frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.8	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Ceratophrys aurita	1594394
39	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	calcarata	Colombian horned frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.9	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA	451	Ceratophrys calcarata	1260751
40	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	cornuta	Amazonian horned frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.3	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485,749	Ceratophrys cornuta	248779
41	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	ornata	Ornate horned frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.7	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451	Ceratophrys ornata	30347
42	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Dendrobates	auratus	Green and black dart-poison frog	365	365	12	NA	6	NA	NA	NA	NA	NA	NA	20.5	448	captivity	large	acceptable	NA	NA	NA	NA	NA	448,749	Dendrobates auratus	43471
43	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Dendrobates	leucomelas	Yellow-banded poison frog	75	75	12	NA	7	NA	NA	NA	NA	NA	NA	11.5	451	captivity	large	acceptable	NA	NA	NA	NA	NA	451,749	Dendrobates leucomelas	85590
44	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Dendrobates	tinctorius	Blue poison-dart frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		unknown	large	low	NA	NA	NA	NA	NA	451	Dendrobates tinctorius	92724
45	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Oophaga	histrionica	Kokoe-pa poison dart frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.1	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451	Oophaga histrionica	51949
46	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Oophaga	pumilio	Strawberry poison frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.5	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451	Oophaga pumilio	51950
47	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Phyllobates	vittatus	Golfo dulce poison-dart frog	304	304	15	NA	14	NA	NA	NA	NA	NA	NA	NA		unknown	medium	low	NA	NA	NA	NA	NA	749	Phyllobates vittatus	51963
48	Animalia	Chordata	Amphibia	Anura	Dicroglossidae	Hoplobatrachus	occipitalis	African tigrine frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	48.1	NA	10.9	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451,749	Hoplobatrachus occipitalis	127645
49	Animalia	Chordata	Amphibia	Anura	Hylidae	Acris	blanchardi	Blanchard's cricket frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA		unknown	small	low	NA	NA	NA	NA	NA	1096	Acris blanchardi	NA
50	Animalia	Chordata	Amphibia	Anura	Hylidae	Acris	crepitans	Northern cricket frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.9	485	captivity	small	questionable	NA	NA	NA	NA	NA	485,749,1096	Acris crepitans	317300
51	Animalia	Chordata	Amphibia	Anura	Hylidae	Agalychnis	callidryas	Red-eyed tree frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		unknown	large	low	NA	NA	NA	NA	NA	485	Agalychnis callidryas	197464
52	Animalia	Chordata	Amphibia	Anura	Hylidae	Agalychnis	spurrelli	Maroon-eyed tree frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA	451	Agalychnis spurrelli	317303
53	Animalia	Chordata	Amphibia	Anura	Hylidae	Diaglena	spatulata	Treefrog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.8	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA	451	Diaglena spatulata	NA
54	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	arborea	European tree frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Hyla arborea	121869
55	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	chrysoscelis	Cope's gray treefrog	730	547	21	NA	35	NA	NA	NA	NA	NA	NA	7.8	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485,528,749	Hyla chrysoscelis	8421
56	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	cinerea	Green treefrog	730	730	NA	NA	1222	NA	NA	NA	NA	NA	NA	NA		unknown	medium	low	NA	NA	NA	NA	NA	485,749	Hyla cinerea	8421
57	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	gratiosa	Barking treefrog	NA	NA	NA	NA	2250	NA	NA	NA	NA	NA	NA	12.5	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451,749	Hyla gratiosa	8421
58	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	japonica	Japanese treefrog	1278	1278	NA	NA	920	NA	NA	NA	NA	NA	NA	8.9	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451,749	Hyla japonica	8421
59	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	squirella	Squirrel treefrog	NA	NA	1	NA	1000	1	NA	NA	NA	NA	NA	8.5	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485,749	Hyla squirella	8421
60	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	versicolor	Gray treefrog	730	730	4	NA	1800	NA	NA	NA	NA	7.2	NA	7.8	543	captivity	medium	acceptable	NA	NA	0.00433	6.97	290.5	37,528,543,749	Hyla versicolor	8421
61	Animalia	Chordata	Amphibia	Anura	Hylidae	Hypsiboas	rosenbergi	Rosenberg's treefrog	NA	NA	NA	NA	775	NA	NA	NA	NA	NA	NA	NA		unknown	small	low	NA	NA	NA	NA	NA	485,749	Hypsiboas rosenbergi	317346
62	Animalia	Chordata	Amphibia	Anura	Hylidae	Litoria	caerulea	Australian green treefrog	NA	NA	NA	NA	1100	NA	NA	NA	NA	NA	NA	20	451	captivity	large	acceptable	NA	NA	NA	NA	NA	451,749	Litoria caerulea	30344
63	Animalia	Chordata	Amphibia	Anura	Hylidae	Osteopilus	septentrionalis	Cuban treefrog	255	120	1	NA	1500	NA	NA	NA	NA	NA	NA	12.9	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451,749	Osteopilus septentrionalis	317373
64	Animalia	Chordata	Amphibia	Anura	Hylidae	Osteopilus	vastus	Hispaniola giant treefrog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.6	451	captivity	small	questionable	NA	NA	NA	NA	NA	451	Osteopilus vastus	318373
65	Animalia	Chordata	Amphibia	Anura	Hylidae	Pachymedusa	dacnicolor	Mexican leaf frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.7	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Pachymedusa dacnicolor	75988
66	Animalia	Chordata	Amphibia	Anura	Hylidae	Phyllomedusa	bicolor	Waxy treefrog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.3	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451	Phyllomedusa bicolor	8393
67	Animalia	Chordata	Amphibia	Anura	Hylidae	Pseudacris	crucifer	Spring peeper	912	912	10	NA	700	NA	NA	NA	NA	4	NA	NA		unknown	small	low	NA	NA	0.00105	0.9	292	37,451,525,528,749	Pseudacris crucifer	189920
68	Animalia	Chordata	Amphibia	Anura	Hylidae	Pseudis	paradoxa	Paradox frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Pseudis paradoxa	43558
69	Animalia	Chordata	Amphibia	Anura	Hylidae	Smilisca	baudinii	Mexican treefrog	NA	NA	NA	NA	2480	NA	NA	NA	NA	NA	NA	6.3	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485,749	Smilisca baudinii	279982
70	Animalia	Chordata	Amphibia	Anura	Hylidae	Smilisca	fodiens	Lowland burrowing treefrog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.1	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Smilisca fodiens	317388
71	Animalia	Chordata	Amphibia	Anura	Hylidae	Smilisca	phaeota	Masked treefrog	NA	NA	NA	NA	2000	NA	NA	NA	NA	NA	NA	4.1	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485,749	Smilisca phaeota	44372
72	Animalia	Chordata	Amphibia	Anura	Hylidae	Trachycephalus	venulosus	Marbled treefrog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.5	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Trachycephalus venulosus	213803
73	Animalia	Chordata	Amphibia	Anura	Leiopelmatidae	Ascaphus	truei	Coastal tailed frog	NA	NA	32	NA	62	NA	NA	NA	NA	NA	NA	14	525	wild	medium	acceptable	NA	NA	NA	NA	NA	525,749	Ascaphus truei	8439
74	Animalia	Chordata	Amphibia	Anura	Leptodactylidae	Leptodactylus	pentadactylus	Tungara frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.8	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451	Leptodactylus pentadactylus	47564
75	Animalia	Chordata	Amphibia	Anura	Mantellidae	Mantella	aurantiaca	Golden mantella	NA	NA	14	NA	40	NA	NA	NA	NA	NA	NA	10.9	451	captivity	large	acceptable	NA	NA	NA	NA	NA	451,749	Mantella aurantiaca	43514
76	Animalia	Chordata	Amphibia	Anura	Mantellidae	Mantella	expectata	Blue-legged mantella	365	365	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1060	wild	small	questionable	NA	NA	NA	NA	NA	1060	Mantella expectata	143428
77	Animalia	Chordata	Amphibia	Anura	Microhylidae	Gastrophryne	carolinensis	Eastern narrow-mouthed toad	547	365	1	NA	722	NA	NA	NA	NA	NA	NA	6.8	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485,528,749	Gastrophryne carolinensis	8429
78	Animalia	Chordata	Amphibia	Anura	Microhylidae	Kaloula	pulchra	Malaysian narrowmouth toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485	Kaloula pulchra	167934
79	Animalia	Chordata	Amphibia	Anura	Microhylidae	Microhyla	ornata	Ornate narrow-mouthed frog	547	182	NA	NA	NA	NA	NA	1125	NA	NA	NA	5	964	wild	small	acceptable	NA	NA	NA	NA	NA	964	Microhyla ornata	143526
80	Animalia	Chordata	Amphibia	Anura	Microhylidae	Phrynomantis	bifasciatus	Red-banded frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.3	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451	Phrynomantis bifasciatus	143656
81	Animalia	Chordata	Amphibia	Anura	Microhylidae	Scaphiophryne	gottlebei	Rainbow frog	365	365	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1060	wild	small	questionable	NA	NA	NA	NA	NA	1060	Scaphiophryne gottlebei	68438
82	Animalia	Chordata	Amphibia	Anura	Pelobatidae	Pelobates	fuscus	Common Eurasian spadefoot toad	NA	NA	8	NA	1740	NA	NA	NA	NA	NA	NA	11	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485,749	Pelobates fuscus	191477
83	Animalia	Chordata	Amphibia	Anura	Petropedetidae	Conraua	goliath	Goliath frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.9	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451,749	Conraua goliath	143458
84	Animalia	Chordata	Amphibia	Anura	Pipidae	Pipa	pipa	Surinam toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.7	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485,749	Pipa pipa	251750
85	Animalia	Chordata	Amphibia	Anura	Pipidae	Xenopus	laevis	African clawed frog	183	NA	2	NA	NA	NA	NA	NA	NA	130	NA	30.3	451	captivity	large	acceptable	NA	NA	0.012	63.6	288	10,37,196,451,526,607,749,1255	Xenopus laevis	8355
86	Animalia	Chordata	Amphibia	Anura	Pyxicephalidae	Pyxicephalus	adspersus	African bullfrog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451,749	Pyxicephalus adspersus	30357
87	Animalia	Chordata	Amphibia	Anura	Pyxicephalidae	Tomopterna	delalandii	Cape sand frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.3	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Tomopterna delalandii	164741
88	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	catesbeianus	American bullfrog	1277	730	4	NA	NA	NA	NA	NA	NA	54.4	NA	16	485	captivity	medium	acceptable	NA	NA	0.0134	51.2	288	2,37,485,526,528,749	Lithobates catesbeianus	192752
89	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	clamitans	Green frog	730	730	NA	NA	4000	NA	NA	NA	NA	NA	NA	10	528	captivity	medium	acceptable	NA	NA	NA	NA	NA	528,749	Lithobates clamitans	192752
90	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	pipiens	Northern leopard frog	730	365	NA	NA	4146	NA	NA	NA	NA	29.0222	NA	9	525	wild	medium	acceptable	NA	NA	0.00576	21.6	289.78	37,42,268,525,528,749	Lithobates pipiens	192752
91	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	septentrionalis	Mink frog	730	547	NA	NA	2250	NA	NA	NA	NA	NA	NA	6	528	wild	medium	acceptable	NA	NA	NA	NA	NA	528,749	Lithobates septentrionalis	192752
92	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	sylvaticus	Wood frog	912	547	NA	NA	900	NA	NA	NA	NA	7.88	NA	5		unknown	medium	questionable	NA	NA	0.00416	7.8	289.8	37,43,289,340,528,749	Lithobates sylvaticus	192752
93	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	virgatipes	Carpenter frog	NA	730	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.2	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485,749	Lithobates virgatipes	192752
94	Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	lessonae	Pool frog	NA	NA	NA	NA	2420	NA	NA	NA	NA	NA	NA	6	525	wild	medium	acceptable	NA	NA	NA	NA	NA	525,749	Pelophylax lessonae	45623
95	Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	nigromaculatus	Black-spotted frog	730	730	NA	NA	2800	NA	NA	NA	NA	NA	NA	15	651	wild	medium	acceptable	NA	NA	NA	NA	NA	651,749	Pelophylax nigromaculatus	8409
96	Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	perezi	Italian green frog	912	912	6	NA	NA	NA	NA	NA	NA	NA	NA	6.8	650	captivity	small	acceptable	NA	NA	NA	NA	NA	525,650,749	Pelophylax perezi	8403
97	Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	ridibundus	Marsh frog	1460	1095	NA	NA	6835	NA	NA	NA	NA	NA	NA	11	525	wild	medium	acceptable	NA	NA	NA	NA	NA	525,749,895	Pelophylax ridibundus	8406
98	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	amurensis	Siberian wood frog	1640	1640	NA	NA	2125	NA	NA	NA	NA	NA	NA	9	525	wild	medium	acceptable	NA	NA	NA	NA	NA	525,749	Rana amurensis	109177
99	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	arvalis	Moor frog	NA	NA	NA	NA	1750	NA	NA	NA	NA	NA	NA	11	525	wild	medium	acceptable	NA	NA	NA	NA	NA	525,749	Rana arvalis	156871
100	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	aurora	California red-legged frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	503	wild	medium	acceptable	NA	NA	NA	NA	NA	503,1150	Rana aurora	160496
101	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	esculenta	Edible frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	525	wild	medium	acceptable	NA	NA	NA	NA	NA	525	Rana esculenta	8399
102	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	iberica	Iberian frog	NA	NA	NA	NA	318	NA	NA	NA	NA	NA	NA	8	525	wild	medium	acceptable	NA	NA	NA	NA	NA	525,749	Rana iberica	168100
103	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	macrocnemis	Long-legged wood frog	912	912	NA	NA	2040	NA	NA	NA	NA	NA	NA	5	525	wild	medium	acceptable	NA	NA	NA	NA	NA	525,749	Rana macrocnemis	157586
104	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	temporaria	European frog	1095	1095	NA	NA	2585	NA	NA	NA	NA	NA	NA	27		unknown	medium	acceptable	NA	NA	NA	NA	NA	25,525,526,749,1118	Rana temporaria	8407
105	Animalia	Chordata	Amphibia	Anura	Scaphiopodidae	Scaphiopus	couchii	Couch's spadefoot	NA	NA	NA	NA	3000	NA	NA	NA	NA	NA	NA	6.7	485	captivity	small	questionable	NA	NA	NA	NA	NA	458,485,749	Scaphiopus couchii	85089
106	Animalia	Chordata	Amphibia	Anura	Scaphiopodidae	Scaphiopus	holbrookii	Eastern spadefoot	730	730	8	NA	3872	NA	NA	NA	NA	NA	NA	12.3	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485,528,749	Scaphiopus holbrookii	8435
107	Animalia	Chordata	Amphibia	Anura	Scaphiopodidae	Spea	intermontana	Great Basin spadefoot	NA	NA	3	NA	676	NA	NA	NA	NA	NA	NA	20	437	wild	medium	acceptable	NA	NA	NA	NA	NA	437,749	Spea intermontana	233780
108	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	gracile	Northwestern salamander	730	730	NA	NA	150	NA	NA	NA	NA	NA	NA	10.2	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485,749	Ambystoma gracile	59636
109	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	mabeei	Mabee's salamander	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.8	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Ambystoma mabeei	43110
110	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	macrodactylum	Long-toed salamander	730	730	40	NA	250	NA	NA	NA	NA	NA	NA	10	437	wild	medium	acceptable	NA	NA	NA	NA	NA	437,749	Ambystoma macrodactylum	43111
