Patho-Nr,English,Tierart,scientific_name,Abbreviation,Institution,Location
Z/63/14,Stone marten,Steinmarder,Martes foina,SM_1_LN,fiwi,"Vienna, Austria"
Z/63/14,Stone marten,Steinmarder,Martes foina,SM_1_B,fiwi,"Vienna, Austria"
Z/67/14,Stone marten,Steinmarder,Martes foina,SM_2_H,fiwi,"Vienna, Austria"
Z/67/14,Stone marten,Steinmarder,Martes foina,SM_2_L,fiwi,"Vienna, Austria"
Z/67/14,Stone marten,Steinmarder,Martes foina,SM_2_S,fiwi,"Vienna, Austria"
Z/67/14,Stone marten,Steinmarder,Martes foina,SM_2_LN,fiwi,"Vienna, Austria"
Z/67/14,Stone marten,Steinmarder,Martes foina,SM_2_B,fiwi,"Vienna, Austria"
Z/68/14,Stone marten,Steinmarder,Martes foina,SM_3_H,fiwi,"Vienna, Austria"
Z/68/14,Stone marten,Steinmarder,Martes foina,SM_3_L,fiwi,"Vienna, Austria"
Z/68/14,Stone marten,Steinmarder,Martes foina,SM_3_S,fiwi,"Vienna, Austria"
Z/68/14,Stone marten,Steinmarder,Martes foina,SM_3_LN,fiwi,"Vienna, Austria"
Z/68/14,Stone marten,Steinmarder,Martes foina,SM_3_B,fiwi,"Vienna, Austria"
Z/9/13,Colorado River toad,Coloradokroete,Incilius alvarius,CT_1_H,fiwi,"Vienna, Austria"
Z/9/13,Colorado River toad,Coloradokroete,Incilius alvarius,CT_1_L,fiwi,"Vienna, Austria"
Z/9/13,Colorado River toad,Coloradokroete,Incilius alvarius,CT_1_M,fiwi,"Vienna, Austria"
Z/2/13,Colorado River toad,Coloradokroete,Incilius alvarius,CT_2_H,fiwi,"Vienna, Austria"
Z/2/13,Colorado River toad,Coloradokroete,Incilius alvarius,CT_2_L,fiwi,"Vienna, Austria"
Z/2/13,Colorado River toad,Coloradokroete,Incilius alvarius,CT_2_M,fiwi,"Vienna, Austria"
Z/75/14,Colorado River toad,Coloradokroete,Incilius alvarius,CT_3_H,fiwi,"Vienna, Austria"
Z/75/14,Colorado River toad,Coloradokroete,Incilius alvarius,CT_3_L,fiwi,"Vienna, Austria"
Z/75/14,Colorado River toad,Coloradokroete,Incilius alvarius,CT_3_M,fiwi,"Vienna, Austria"
Z/20/10,Buzzard,Bussard,Buteo,BU_1_H,fiwi,"Vienna, Austria"
Z/20/10,Buzzard,Bussard,Buteo,BU_1_L,fiwi,"Vienna, Austria"
Z/20/10,Buzzard,Bussard,Buteo,BU_1_S,fiwi,"Vienna, Austria"
Z/20/10,Buzzard,Bussard,Buteo,BU_1_B,fiwi,"Vienna, Austria"
CB/85/10,Buzzard,Bussard,Buteo,BU_2_H,fiwi,"Vienna, Austria"
CB/85/10,Buzzard,Bussard,Buteo,BU_2_L,fiwi,"Vienna, Austria"
CB/85/10,Buzzard,Bussard,Buteo,BU_2_S,fiwi,"Vienna, Austria"
CB/85/10,Buzzard,Bussard,Buteo,BU_2_B,fiwi,"Vienna, Austria"
AC/123/13,Buzzard,Bussard,Buteo,BU_3_H,fiwi,"Vienna, Austria"
AC/123/13,Buzzard,Bussard,Buteo,BU_3_L,fiwi,"Vienna, Austria"
AC/123/13,Buzzard,Bussard,Buteo,BU_3_S,fiwi,"Vienna, Austria"
Z/394/12,Leaf bird,Orangebauch Blattvogel,Chloropsis,LB_1_H,fiwi,"Vienna, Austria"
Z/394/12,Leaf bird,Orangebauch Blattvogel,Chloropsis,LB_1_L,fiwi,"Vienna, Austria"
Z/394/12,Leaf bird,Orangebauch Blattvogel,Chloropsis,LB_1_B,fiwi,"Vienna, Austria"
CB/78/14,Leaf bird,Blaustirn Blattvogel,Chloropsis,LB_2_H,fiwi,"Vienna, Austria"
CB/78/14,Leaf bird,Blaustirn Blattvogel,Chloropsis,LB_2_L,fiwi,"Vienna, Austria"
CB/78/14,Leaf bird,Blaustirn Blattvogel,Chloropsis,LB_2_S,fiwi,"Vienna, Austria"
CB/78/14,Leaf bird,Blaustirn Blattvogel,Chloropsis,LB_2_B,fiwi,"Vienna, Austria"
AC/211/15,Leaf bird,Orangebauch Blattvogel,Chloropsis,LB_3_H,fiwi,"Vienna, Austria"
AC/211/15,Leaf bird,Blattvogel,Chloropsis,LB_3_L,fiwi,"Vienna, Austria"
AC/211/15,Leaf bird,Blattvogel,Chloropsis,LB_3_S,fiwi,"Vienna, Austria"
Z/183/13,Mouflon,Mufflon,Ovis orientalis,MU_1_H,fiwi,"Vienna, Austria"
Z/183/13,Mouflon,Mufflon,Ovis orientalis,MU_1_L,fiwi,"Vienna, Austria"
Z/183/13,Mouflon,Mufflon,Ovis orientalis,MU_1_S,fiwi,"Vienna, Austria"
Z/183/13,Mouflon,Mufflon,Ovis orientalis,MU_1_LN,fiwi,"Vienna, Austria"
Z/183/13,Mouflon,Mufflon,Ovis orientalis,MU_1_B,fiwi,"Vienna, Austria"
CB/165/15,Mouflon,Mufflon,Ovis orientalis,MU_2_H,fiwi,"Vienna, Austria"
CB/165/15,Mouflon,Mufflon,Ovis orientalis,MU_2_L,fiwi,"Vienna, Austria"
CB/165/15,Mouflon,Mufflon,Ovis orientalis,MU_2_S,fiwi,"Vienna, Austria"
CB/165/15,Mouflon,Mufflon,Ovis orientalis,MU_2_LN,fiwi,"Vienna, Austria"
CB/165/15,Mouflon,Mufflon,Ovis orientalis,MU_2_B,fiwi,"Vienna, Austria"
CB/844/15,Mouflon,Mufflon,Ovis orientalis,MU_3_H,fiwi,"Vienna, Austria"
